seed,step,acc0,acc1,frac_pos0,frac_pos1,best_pos0,best_pos1,pick_pos0,pick_pos1,gap0,gap1
4,5000,0.579670,0.510989,0.526667,0.256667,0.00848519,0.00624376,0.00672903,0.00292565,0.00175616,0.00331811
4,8000,0.656593,0.472527,0.250000,0.336667,0.00673993,0.00758895,0.00509158,0.00435208,0.00164835,0.00323686
4,12000,0.634615,0.478022,0.236667,0.616667,0.00630707,0.00861301,0.00441108,0.00583606,0.00189599,0.00277695
4,20000,0.788462,0.543956,0.060000,0.220000,0.00473138,0.00582751,0.00427350,0.00316350,0.00045788,0.00266400
4,30000,0.881868,0.697802,0.003333,0.006667,0.00274725,0.00274725,0.00274725,-0.00274725,0.00000000,0.00549451
4,50000,0.901099,0.722527,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
4,80000,0.909341,0.730769,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
4,120000,0.923077,0.730769,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
4,200000,0.923077,0.755495,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
4,300000,0.928571,0.769231,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
5,0,0.250000,0.239011,0.823333,0.903333,0.01226810,0.01402011,0.00927615,0.01112080,0.00299195,0.00289931
5,500,0.568681,0.453297,0.433333,0.540000,0.00809383,0.00781780,0.00642434,0.00547755,0.00166948,0.00234025
5,1000,0.571429,0.450549,0.436667,0.463333,0.00713027,0.00936833,0.00482342,0.00677919,0.00230685,0.00258914
5,2000,0.521978,0.502747,0.376667,0.320000,0.00819313,0.00804144,0.00515414,0.00495078,0.00303900,0.00309066
5,3000,0.593407,0.445055,0.230000,0.606667,0.00469820,0.00889083,0.00230928,0.00547941,0.00238892,0.00341142
5,5000,0.576923,0.469780,0.310000,0.493333,0.00611485,0.00991238,0.00496278,0.00716513,0.00115207,0.00274725
5,8000,0.565934,0.530220,0.516667,0.176667,0.00827721,0.00580552,0.00638072,0.00243624,0.00189649,0.00336927
5,12000,0.656593,0.489011,0.226667,0.296667,0.00658533,0.00743919,0.00480769,0.00373503,0.00177763,0.00370416
