picker,H,acc_final,acc_checkpoint,oracle_rank,frac_oracle
fp,1.0,0.755495,0.593407,2.8300,0.3900
fp,1.0,0.733516,0.549451,2.2233,0.4767
fp,1.0,0.771978,0.579670,2.9567,0.4300
fp,1.0,0.766484,0.598901,2.9233,0.4467
fp,1.0,0.791209,0.618132,3.4700,0.3733
fp,1.0,0.780220,0.618132,3.1767,0.3667
fp,1.0,0.763736,0.637363,4.1833,0.3300
fp,1.0,0.774725,0.574176,2.8100,0.4400
fp,1.0,0.758242,0.579670,3.3933,0.4033
fp,1.0,0.793956,0.565934,3.1333,0.3833
fp,1.0,0.802198,0.604396,3.1033,0.4067
margin1,1.0,0.741758,0.571429,0.4333,0.7500
margin1,1.0,0.744505,0.532967,0.3433,0.7900
margin1,1.0,0.733516,0.549451,0.2933,0.8167
margin1,1.0,0.771978,0.554945,0.4233,0.7667
margin1,1.0,0.766484,0.579670,0.3467,0.8067
margin1,1.0,0.766484,0.579670,0.7533,0.6900
margin1,1.0,0.777473,0.615385,0.4067,0.7567
margin1,1.0,0.755495,0.587912,0.5667,0.7200
margin1,1.0,0.750000,0.587912,0.5067,0.7667
margin1,1.0,0.755495,0.576923,0.4733,0.7700
margin1,1.0,0.744505,0.629121,0.4167,0.7600
margin1,1.0,0.739011,0.648352,0.5567,0.7500
margin1,1.0,0.766484,0.535714,0.2833,0.8100
margin1,1.0,0.763736,0.532967,0.3833,0.7633
margin1,1.0,0.750000,0.587912,0.3933,0.7667
margin1,1.0,0.755495,0.535714,0.4933,0.7567
margin1,1.0,0.747253,0.571429,0.4300,0.7733
margin1,1.0,0.744505,0.604396,0.3033,0.7933
margin1,1.0,0.769231,0.563187,0.5567,0.7533
margin1,1.0,0.766484,0.590659,0.5200,0.7300
local_oracle,1.0,0.752747,0.587912,0.3433,0.7767
local_oracle,1.0,0.769231,0.585165,0.3367,0.7900
local_oracle,1.0,0.736264,0.574176,0.3833,0.7733
local_oracle,1.0,0.752747,0.557692,0.4600,0.7167
local_oracle,1.0,0.760989,0.574176,0.3300,0.8033
local_oracle,1.0,0.763736,0.541209,0.3833,0.7767
local_oracle,1.0,0.758242,0.631868,0.4933,0.7533
local_oracle,1.0,0.708791,0.604396,0.3133,0.8200
local_oracle,1.0,0.760989,0.590659,0.3233,0.8300
local_oracle,1.0,0.763736,0.541209,0.5167,0.7367
local_oracle,1.0,0.744505,0.576923,0.3467,0.8033
local_oracle,1.0,0.769231,0.527473,0.3300,0.7800
local_oracle,1.0,0.774725,0.598901,0.3033,0.7867
local_oracle,1.0,0.763736,0.585165,0.2633,0.8300
local_oracle,1.0,0.769231,0.568681,0.3767,0.7833
local_oracle,1.0,0.741758,0.620879,0.4500,0.7467
local_oracle,1.0,0.730769,0.543956,0.3833,0.7967
